logFC	logCPM	F	PValue	FDR	contrasts	ROI	motif	logadjPval	regulated
0.362570078674032	15.689493782126	1.00368264355553	0.421770083540373	0.875787023313273	open_vs_all	ROI1	motif1	0.0576014941121409	no
-0.347923305197814	15.689493782126	0.875733808703109	0.437893511656637	0.875787023313273	open_vs_all	ROI4	motif1	0.0576014941121409	no
-0.152003093623655	15.689493782126	0.153043443047199	0.716518926291933	0.955358568389244	open_vs_all	ROI2	motif1	0.0198335969547896	no
5.44842047263875e-09	15.689493782126	-2.09946956572768e-15	1	1	open_vs_all	ROI3	motif1	0	no
-0.263034404648849	15.689493782126	0.557355856522365	0.549472971305038	1	tf_vs_all	ROI1	motif1	0	no
-0.137503526476232	15.689493782126	0.118266735163619	0.751704050790267	1	tf_vs_all	ROI3	motif1	0	no
3.55629674691615e-10	15.689493782126	8.24997029052928e-15	0.999999928041478	1	tf_vs_all	ROI2	motif1	0	no
2.60674539156424e-09	15.689493782126	1.03454055214919e-14	1	1	tf_vs_all	ROI4	motif1	0	no
-0.321928095716414	15.689493782126	0.838239283064812	0.462768565117946	0.891858472757292	Nuc_vs_all	ROI1	motif1	0.0497040574816443	no
0.169925002803125	15.689493782126	0.18338388281976	0.693465740651573	0.891858472757292	Nuc_vs_all	ROI3	motif1	0.0497040574816443	no
0.163498732105139	15.689493782126	0.168506226487134	0.703047779327891	0.891858472757292	Nuc_vs_all	ROI2	motif1	0.0497040574816443	no
0.0588936882245985	15.689493782126	0.0268780910105669	0.891858472757292	0.891858472757292	Nuc_vs_all	ROI4	motif1	0.0497040574816443	no
-0.652076696221337	15.689493782126	3.1630633205178	0.0987931959194538	0.297813087316753	downNuc_vs_all	ROI2	motif1	0.526056221209224	no
0.637429920970872	15.689493782126	3.24114281597325	0.148906543658377	0.297813087316753	downNuc_vs_all	ROI1	motif1	0.526056221209224	no
-0.28950661855885	15.689493782126	0.543345219307736	0.49767790254952	0.663570536732694	downNuc_vs_all	ROI3	motif1	0.178112905375944	no
-1.18504356655625e-09	15.689493782126	1.68112839724243e-14	1	1	downNuc_vs_all	ROI4	motif1	0	no
-0.321928094887228	15.689493782126	0.985057366297875	0.426227677833871	0.732630628406721	upNuc_vs_all	ROI1	motif1	0.135114929146798	no
0.289506616839534	15.689493782126	0.533775485400796	0.497677902549498	0.732630628406721	upNuc_vs_all	ROI2	motif1	0.135114929146798	no
0.263034407018716	15.689493782126	0.5214002744708	0.549472971305041	0.732630628406721	upNuc_vs_all	ROI4	motif1	0.135114929146798	no
-2.72680597281542e-09	15.689493782126	6.29840869718304e-15	0.999999937125947	0.999999937125947	upNuc_vs_all	ROI3	motif1	2.73058552602275e-08	no
